单位:(mV)
,CH1,CH2
频率,?,?
周期,?,?
798,160.00,1640.00
799,160.00,1640.00
800,160.00,1640.00
801,160.00,1640.00
802,160.00,1600.00
803,160.00,1640.00
804,160.00,1600.00
805,160.00,1640.00
806,160.00,1640.00
807,160.00,1640.00
808,160.00,1640.00
809,160.00,1640.00
810,160.00,1600.00
811,160.00,1640.00
812,160.00,1640.00
813,160.00,1600.00
814,160.00,1640.00
815,160.00,1640.00
816,160.00,1640.00
817,160.00,1680.00
818,160.00,1600.00
819,160.00,1640.00
820,160.00,1600.00
821,160.00,1640.00
822,160.00,1640.00
823,160.00,1640.00
824,80.00,1600.00
825,160.00,1640.00
826,160.00,1600.00
827,160.00,1640.00
828,160.00,1640.00
829,160.00,1600.00
830,160.00,1680.00
831,160.00,1600.00
832,160.00,1640.00
833,160.00,1640.00
834,160.00,1640.00
835,160.00,1640.00
836,160.00,1680.00
837,160.00,1640.00
838,160.00,1640.00
839,160.00,1600.00
840,160.00,1640.00
841,160.00,1600.00
842,160.00,1680.00
843,160.00,1640.00
844,80.00,1640.00
845,160.00,1640.00
846,160.00,1600.00
847,80.00,1640.00
848,160.00,1600.00
849,160.00,1640.00
850,160.00,1640.00
851,160.00,1640.00
852,160.00,1640.00
853,160.00,1680.00
854,160.00,1600.00
855,160.00,1680.00
856,160.00,1640.00
857,160.00,1640.00
858,160.00,1600.00
859,160.00,1640.00
860,160.00,1640.00
861,160.00,1680.00
862,160.00,1640.00
863,160.00,1640.00
864,160.00,1600.00
865,160.00,1680.00
866,160.00,1640.00
867,80.00,1640.00
868,160.00,1640.00
869,160.00,1640.00
870,160.00,1680.00
871,160.00,1600.00
872,160.00,1640.00
873,160.00,1640.00
874,160.00,1600.00
875,160.00,1640.00
876,160.00,1640.00
877,160.00,1600.00
878,160.00,1640.00
879,160.00,1600.00
880,160.00,1640.00
881,240.00,1680.00
882,160.00,1640.00
883,160.00,1640.00
884,160.00,1680.00
885,160.00,1640.00
886,160.00,1640.00
887,160.00,1640.00
888,160.00,1640.00
889,160.00,1640.00
890,160.00,1640.00
891,160.00,1640.00
892,80.00,1600.00
893,160.00,1680.00
894,160.00,1600.00
895,160.00,1640.00
896,160.00,1640.00
897,160.00,1640.00
898,160.00,1640.00
899,160.00,1600.00
900,160.00,1640.00
901,160.00,1600.00
902,160.00,1680.00
903,160.00,1600.00
904,160.00,1640.00
905,160.00,1680.00
906,160.00,1680.00
907,160.00,1640.00
908,240.00,1600.00
909,160.00,1640.00
910,160.00,1640.00
911,160.00,1680.00
912,160.00,1640.00
913,80.00,1600.00
914,160.00,1680.00
915,160.00,1640.00
916,80.00,1640.00
917,160.00,1640.00
